time,x,y,z,dx,dy,dz,ddx,ddy,ddz
0.0,-1.604020684464263e-10,7.194280977806822e-11,7.000643224993632,-2.9382930868585595e-11,-2.9745187362703894e-11,-8.046382180305419e-13,9.088093308146254,9.200136881758699,-9.13188587129858e-06
1.0,3.6029855549031438,3.647405644076507,7.000638659289222,6.264910011176277,6.342148491193834,-9.131168685096459e-06,3.4417267142650725,3.4841601006884666,-9.130449889310646e-06
2.0,10.647697824231765,10.778971388769541,7.000624963134923,6.88345342850077,6.968320201347196,-1.8260900582726877e-05,-2.2046398796160807,-2.231816680381737,-9.129013905724816e-06
3.0,16.5407356595631,16.744667188662145,7.000602137681198,5.148975285791866,5.212461560087275,-2.7390077966172452e-05,-0.9839742236294338,-0.9961022731657361,-9.129439391297024e-06
4.0,21.449880457118752,21.71434290212756,7.000570182798343,4.9214709328979405,4.982155156804558,-3.651977293947866e-05,0.5289655178415826,0.5354894666003029,-9.129950555259317e-06
5.0,26.640363062391152,26.96882753951308,7.0005290979984744,5.39797528069276,5.464536695356898,-4.5649871836607156e-05,0.28020304312039723,0.28366016930474725,-9.13027466673827e-06
6.0,32.11087468437984,32.50679617434678,7.000478882938813,5.475482783020361,5.5430024291349635,-5.478029798042812e-05,-0.12518803846519572,-0.12672870174861656,-9.130577620836115e-06
7.0,37.514088815556214,37.9766403480799,7.000419537352432,5.345509306766995,5.411429293257259,-6.391085753904897e-05,-0.07951631941740059,-0.08049392719056438,-9.130588547255054e-06
8.0,42.83794400255347,43.366149910032505,7.000351061207498,5.320305107166483,5.38591706293857,-7.304142544842307e-05,0.029107920216375052,0.02946946655318438,-9.130547271453743e-06
9.0,48.17746108821251,48.77151715015457,7.000273454592081,5.355514505243326,5.421563228283704,-8.217168303171388e-05,0.022492818505749582,0.02277281170996231,-9.130004475116806e-06
10.0,53.53937103864247,54.19955601599032,7.0001867180170025,5.363454431550333,5.42960373508488,-9.130135693817446e-05,-0.0066129658917341745,-0.006691798107609246,-9.12934333777449e-06
11.0,58.89776883388999,59.62404212225341,7.000090852000233,5.353976785161625,5.420011939931292,-0.00010043074403293907,-0.006347014090277764,-0.0064225671941428985,-9.129818841800331e-06
12.0,64.24987192419543,65.04215861535515,6.999985856223946,5.351529207638212,5.417536883039733,-0.00010956093137720637,0.0014518590434514072,0.0014724534110257385,-9.130555846710293e-06
13.0,69.60271741848868,70.46102936034315,6.999871730005662,5.35406169632067,5.420103288352993,-0.00011869140024954253,0.0017842757594752636,0.0018089678903975429,-9.130342920810198e-06
14.0,74.95732296902457,75.88168455511602,6.999748473527584,5.354801121086636,5.42085452366742,-0.00012782146227999317,-0.00030542622754244417,-0.0003064972615451018,-9.129781140065617e-06
15.0,80.31178399524765,81.3021961382487,6.999616087202505,5.35412667846047,5.420174460566488,-0.00013695122420208443,-0.0005026614310427031,-0.0005061640315072894,-9.130277028919826e-06
16.0,85.66575266533746,86.72221198969824,6.999474570695376,5.3539039840640035,5.419951715231377,-0.0001460819344704627,5.727263811093809e-05,6.0673361285189116e-05,-9.131143507803412e-06
17.0,91.0197424725159,92.14225193345955,6.9993239231800155,5.354080243195401,5.420132842086242,-0.0001552128758169682,0.00013910387231480528,0.000143513589953837,-9.130525273674184e-06
18.0,96.37386726198436,97.56243121841524,6.999164145275591,5.354144330078393,5.420200413899662,-0.00016434269900094574,-1.0930106331323224e-05,-8.369963115476513e-06,-9.129121094232987e-06
19.0,101.72798914761796,102.9826102586339,6.99899523814602,5.354096446714913,5.4201546351738665,-0.00017347155361776545,-4.062259810524615e-05,-3.8428358327833035e-05,-9.129584925636522e-06
20.0,107.08207198326853,108.40275246249787,6.998817201555305,5.3540759248209895,5.42013655542337,-0.00018260187244696155,-4.211897421122789e-07,2.268857336381429e-06,-9.1310527326865e-06
21.0,112.43615263717572,113.82289515294207,6.998630034016541,5.354086679236353,5.420150137662135,-0.00019173303664627225,9.615696600303823e-06,1.2429349139874825e-05,-9.131009134215141e-06
22.0,117.79024232896671,119.2430496877928,6.998433735672711,5.354090909051954,5.420157114553426,-0.00020086345362850695,-1.1560653993384591e-06,1.5244334438277134e-06,-9.129824830157138e-06
23.0,123.14433124539474,124.66320613248298,6.998228307469671,5.354086440180491,5.420155285216732,-0.0002099927370910433,-4.402936616733588e-06,-1.762621660690667e-06,-9.12953468997291e-06
24.0,128.49841596516566,130.0833610233796,6.998013749911752,5.3540834804200905,5.420154983567245,-0.0002191224322339558,-1.516584181953309e-06,1.1593226859041552e-06,-9.12985559572066e-06
25.0,133.8524990873801,135.5035169916304,6.997790062497188,5.354082930957502,5.420157121950011,-0.0002282522598557027,-4.972452969332556e-07,2.1912813396963266e-06,-9.130285000437356e-06
26.0,139.20658164081135,140.92367507874434,6.9975572450293235,5.354082047001323,5.420158921801096,-0.000237382741380523,-1.2706670612330554e-06,1.408420828340543e-06,-9.130678049030633e-06
